iter	Passed	Remaining
0	1	108
1	2	105
2	2	94
3	3	83
4	4	80
5	4	77
6	5	75
7	6	73
8	7	72
9	8	73
10	9	73
11	9	72
12	11	73
13	12	73
14	13	74
15	14	74
16	15	77
17	17	77
18	18	77
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	67
26	24	66
27	25	65
28	26	63
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	47
43	37	47
44	38	46
45	39	45
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
