iter	Passed	Remaining
0	76	76292
1	77	38597
2	78	26041
3	79	19755
4	80	16010
5	81	13582
6	83	11777
7	83	10410
8	85	9370
9	86	8531
10	87	7835
11	88	7302
12	89	6820
13	90	6396
14	91	6026
15	92	5701
16	93	5413
17	94	5174
18	96	4965
19	97	4761
20	98	4573
21	99	4401
22	99	4246
23	100	4101
24	102	3983
25	103	3871
26	104	3758
27	105	3652
28	106	3552
29	106	3458
30	107	3370
31	108	3295
32	110	3234
33	111	3167
34	112	3098
35	113	3034
36	114	2974
37	115	2916
38	116	2875
39	117	2826
40	118	2775
41	119	2729
42	120	2684
43	121	2641
44	122	2603
45	124	2575
46	125	2540
47	126	2503
48	127	2467
49	128	2432
50	128	2398
51	130	2372
52	131	2348
53	132	2321
54	133	2292
55	134	2265
56	135	2238
57	136	2213
58	137	2192
59	138	2174
60	139	2152
61	140	2129
62	141	2107
63	142	2085
64	143	2065
65	144	2047
66	146	2034
67	147	2018
68	148	2001
69	149	1982
70	150	1964
71	151	1947
72	152	1932
73	153	1921
74	154	1908
75	155	1892
76	156	1876
77	157	1860
78	158	1845
79	159	1833
80	160	1825
81	161	1813
82	162	1794
83	163	1781
84	164	1768
85	165	1755
86	166	1743
87	167	1736
88	168	1728
89	170	1725
90	171	1715
91	172	1705
92	176	1722
93	177	1711
94	178	1700
95	179	1689
96	180	1679
97	181	1668
98	182	1664
99	183	1654
100	184	1644
101	185	1635
102	186	1625
103	187	1616
104	188	1606
105	190	1607
106	191	1601
107	192	1592
108	193	1583
109	194	1574
110	195	1565
111	196	1557
112	197	1553
113	198	1545
114	199	1537
115	200	1528
116	201	1519
117	202	1511
118	203	1504
119	204	1500
120	205	1495
121	206	1486
122	207	1479
123	208	1471
124	209	1464
125	210	1457
126	210	1449
127	212	1445
128	213	1441
129	214	1434
130	215	1428
131	216	1421
132	216	1414
133	217	1407
134	218	1402
135	220	1399
136	221	1393
137	222	1387
138	222	1381
139	223	1375
140	224	1369
141	225	1361
142	226	1358
143	227	1354
144	228	1348
145	229	1343
146	230	1337
147	231	1332
148	232	1326
149	233	1322
150	235	1321
151	236	1316
152	236	1311
153	237	1306
154	238	1301
155	239	1296
156	240	1291
157	242	1291
158	243	1286
159	244	1282
160	244	1275
161	245	1270
162	246	1266
163	247	1261
164	248	1259
165	250	1257
166	251	1252
167	252	1248
168	252	1243
169	253	1239
170	254	1234
171	256	1232
172	257	1229
173	258	1225
174	259	1221
175	259	1217
176	260	1213
177	261	1208
178	262	1204
179	264	1204
180	265	1201
181	266	1197
182	267	1192
183	268	1188
184	268	1184
185	269	1180
186	271	1179
187	272	1176
188	273	1173
189	274	1169
190	275	1166
191	276	1162
192	277	1158
193	278	1157
194	279	1154
195	280	1150
196	281	1147
197	282	1143
198	283	1140
199	284	1137
200	286	1138
